"YearStart","YearEnd","LocationAbbr","LocationDesc","DataSource","Topic","Category","Question","Response","Age","Sex","RaceEthnicity","RiskFactor","RiskFactorResponse","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_limit","High_Confidence_Limit","Numerator","Sample_Size","LocationID","TopicID","CategoryID","QuestionID","ResponseID","DataValueTypeID","AgeID","SexID","RaceEthnicityID","RiskFactorID","RiskFactorResponseID","GeoLocation","Geographic Level","StateAbbr"
"2005","2008","US","National","NHANES","Eye Health Conditions","Exam-Based Age Related Macular Degeneration","Percentage of people with age-related macular degeneration, based on examination","Yes","40-64 years","Both sexes","All races","All participants","Total","%","Crude Prevalence","3.1",,,"2.3","3.9",,"3,634","59","TCOND","CEAMD","NHEAMD","RYES","CRDPREV","AGE4064","GALL","ALLRACE","RFAPAR","RFTOT",,"National","US"
"2005","2008","US","National","NHANES","Eye Health Conditions","Exam-Based Age Related Macular Degeneration","Percentage of people with age-related macular degeneration, based on examination","Yes","40-64 years","Both sexes","All races","Diabetes","No","%","Crude Prevalence","3.1",,,"2.3","4.1",,"2,900","59","TCOND","CEAMD","NHEAMD","RYES","CRDPREV","AGE4064","GALL","ALLRACE","RFDM","RFNO",,"National","US"
"2005","2008","US","National","NHANES","Eye Health Conditions","Exam-Based Age Related Macular Degeneration","Percentage of people with age-related macular degeneration, based on examination","Yes","40-64 years","Both sexes","All races","Diabetes","Yes","%","Crude Prevalence","3.1",,,"1.7","5.3",,"639","59","TCOND","CEAMD","NHEAMD","RYES","CRDPREV","AGE4064","GALL","ALLRACE","RFDM","RFYES",,"National","US"
"2005","2008","US","National","NHANES","Eye Health Conditions","Exam-Based Age Related Macular Degeneration","Percentage of people with age-related macular degeneration, based on examination","Yes","40-64 years","Both sexes","All races","Hypertension","No","%","Crude Prevalence","2.9",,,"2.1","3.8",,"2,185","59","TCOND","CEAMD","NHEAMD","RYES","CRDPREV","AGE4064","GALL","ALLRACE","RFHT","RFNO",,"National","US"
"2005","2008","US","National","NHANES","Eye Health Conditions","Exam-Based Age Related Macular Degeneration","Percentage of people with age-related macular degeneration, based on examination","Yes","40-64 years","Both sexes","All races","Hypertension","Yes","%","Crude Prevalence","3.4",,,"2","5.6",,"1,449","59","TCOND","CEAMD","NHEAMD","RYES","CRDPREV","AGE4064","GALL","ALLRACE","RFHT","RFYES",,"National","US"
"2005","2008","US","National","NHANES","Eye Health Conditions","Exam-Based Age Related Macular Degeneration","Percentage of people with age-related macular degeneration, based on examination","Yes","40-64 years","Both sexes","All races","Smoking","No","%","Crude Prevalence","2.1",,,"1.2","3.4",,"1,744","59","TCOND","CEAMD","NHEAMD","RYES","CRDPREV","AGE4064","GALL","ALLRACE","RFSM","RFNO",,"National","US"
"2005","2008","US","National","NHANES","Eye Health Conditions","Exam-Based Age Related Macular Degeneration","Percentage of people with age-related macular degeneration, based on examination","Yes","40-64 years","Both sexes","All races","Smoking","Yes","%","Crude Prevalence","4",,,"3","5.3",,"1,889","59","TCOND","CEAMD","NHEAMD","RYES","CRDPREV","AGE4064","GALL","ALLRACE","RFSM","RFYES",,"National","US"
"2005","2008","US","National","NHANES","Eye Health Conditions","Exam-Based Age Related Macular Degeneration","Percentage of people with age-related macular degeneration, based on examination","Yes","40-64 years","Both sexes","Black, non-Hispanic","All participants","Total","%","Crude Prevalence","1.7",,,"1","2.9",,"820","59","TCOND","CEAMD","NHEAMD","RYES","CRDPREV","AGE4064","GALL","BLK","RFAPAR","RFTOT",,"National","US"
"2005","2008","US","National","NHANES","Eye Health Conditions","Exam-Based Age Related Macular Degeneration","Percentage of people with age-related macular degeneration, based on examination","Yes","40-64 years","Both sexes","Black, non-Hispanic","Diabetes","No","%","Crude Prevalence",,"**","Some values are suppressed due to a relative standard error >30%",,,,"571","59","TCOND","CEAMD","NHEAMD","RYES","CRDPREV","AGE4064","GALL","BLK","RFDM","RFNO",,"National","US"
"2005","2008","US","National","NHANES","Eye Health Conditions","Exam-Based Age Related Macular Degeneration","Percentage of people with age-related macular degeneration, based on examination","Yes","40-64 years","Both sexes","Black, non-Hispanic","Diabetes","Yes","%","Crude Prevalence",,"**","Some values are suppressed due to a relative standard error >30%",,,,"204","59","TCOND","CEAMD","NHEAMD","RYES","CRDPREV","AGE4064","GALL","BLK","RFDM","RFYES",,"National","US"
